Position,Freq (MHz),Level (dBµV/m),Limit Cl.A,Margin (dB),Status
Worst-case envelope,898.5546875,47.54242509439325,47.0,-0.542425094393252,FAIL
Worst-case envelope,861.201171875,42.87542509439325,47.0,4.1245749056067496,PASS
Worst-case envelope,854.21875,41.346425094393254,47.0,5.653574905606746,PASS
Worst-case envelope,162.51953125,31.62342509439325,40.0,8.376574905606748,PASS
Worst-case envelope,32.001953125,28.93442509439325,40.0,11.065574905606749,PASS
Worst-case envelope,40.05859375,28.845425094393246,40.0,11.154574905606754,PASS
Worst-case envelope,61.103515625,28.741425094393247,40.0,11.258574905606753,PASS
Worst-case envelope,493.427734375,28.16042509439325,47.0,18.83957490560675,PASS
Worst-case envelope,113.7890625,28.088425094393248,40.0,11.911574905606752,PASS
Worst-case envelope,80.48828125,27.75142509439325,40.0,12.248574905606748,PASS
Worst-case envelope,506.07421875,27.67342509439325,47.0,19.32657490560675,PASS
Worst-case envelope,250.01953125,27.439425094393247,47.0,19.560574905606753,PASS
